,Year,Destination,Origin,Type,Value,dcode,ocode
4481,2017,Austria,Azerbaijan,Refugees (incl. refugee-like situations),323,AUT,AZE
4482,2017,Austria,Burundi,Refugees (incl. refugee-like situations),16,AUT,BDI
4483,2017,Austria,Benin,Refugees (incl. refugee-like situations),0,AUT,BEN
4484,2017,Austria,Burkina Faso,Refugees (incl. refugee-like situations),9,AUT,BFA
4485,2017,Austria,Bangladesh,Refugees (incl. refugee-like situations),276,AUT,BGD
4486,2017,Austria,Bulgaria,Refugees (incl. refugee-like situations),0,AUT,BGR
4487,2017,Austria,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),117,AUT,BIH
4488,2017,Austria,Belarus,Refugees (incl. refugee-like situations),82,AUT,BLR
4489,2017,Austria,Bolivia (Plurinational State of),Refugees (incl. refugee-like situations),11,AUT,BOL
4490,2017,Austria,Brazil,Refugees (incl. refugee-like situations),0,AUT,BRA
4491,2017,Austria,Bhutan,Refugees (incl. refugee-like situations),0,AUT,BTN
4492,2017,Austria,Central African Rep.,Refugees (incl. refugee-like situations),0,AUT,CAF
4493,2017,Austria,Canada,Refugees (incl. refugee-like situations),0,AUT,CAN
4494,2017,Austria,China,Refugees (incl. refugee-like situations),559,AUT,CHN
4495,2017,Austria,CÌ«te d'Ivoire,Refugees (incl. refugee-like situations),70,AUT,CIV
4496,2017,Austria,Cameroon,Refugees (incl. refugee-like situations),233,AUT,CMR
4497,2017,Austria,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),406,AUT,COD
4498,2017,Austria,Congo,Refugees (incl. refugee-like situations),131,AUT,COG
4499,2017,Austria,Colombia,Refugees (incl. refugee-like situations),0,AUT,COL
4500,2017,Austria,Cabo Verde,Refugees (incl. refugee-like situations),0,AUT,CPV
4501,2017,Austria,Cuba,Refugees (incl. refugee-like situations),14,AUT,CUB
4502,2017,Austria,Czech Rep.,Refugees (incl. refugee-like situations),0,AUT,CZE
4503,2017,Austria,Algeria,Refugees (incl. refugee-like situations),43,AUT,DZA
4504,2017,Austria,Egypt,Refugees (incl. refugee-like situations),185,AUT,EGY
4505,2017,Austria,Eritrea,Refugees (incl. refugee-like situations),303,AUT,ERI
4506,2017,Austria,Estonia,Refugees (incl. refugee-like situations),0,AUT,EST
4507,2017,Austria,Ethiopia,Refugees (incl. refugee-like situations),188,AUT,ETH
4508,2017,Austria,Gabon,Refugees (incl. refugee-like situations),0,AUT,GAB
4509,2017,Austria,Georgia,Refugees (incl. refugee-like situations),555,AUT,GEO
4510,2017,Austria,Ghana,Refugees (incl. refugee-like situations),31,AUT,GHA
4511,2017,Austria,Guinea,Refugees (incl. refugee-like situations),142,AUT,GIN
4512,2017,Austria,Gambia,Refugees (incl. refugee-like situations),134,AUT,GMB
4513,2017,Austria,Guinea-Bissau,Refugees (incl. refugee-like situations),0,AUT,GNB
4514,2017,Austria,Equatorial Guinea,Refugees (incl. refugee-like situations),0,AUT,GNQ
4515,2017,Austria,Greece,Refugees (incl. refugee-like situations),0,AUT,GRC
4516,2017,Austria,Guatemala,Refugees (incl. refugee-like situations),9,AUT,GTM
4517,2017,Austria,Croatia,Refugees (incl. refugee-like situations),0,AUT,HRV
4518,2017,Austria,Haiti,Refugees (incl. refugee-like situations),0,AUT,HTI
4519,2017,Austria,Indonesia,Refugees (incl. refugee-like situations),0,AUT,IDN
4520,2017,Austria,India,Refugees (incl. refugee-like situations),63,AUT,IND
4521,2017,Austria,Ireland,Refugees (incl. refugee-like situations),0,AUT,IRL
4522,2017,Austria,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),4565,AUT,IRN
4523,2017,Austria,Iraq,Refugees (incl. refugee-like situations),7414,AUT,IRQ
4524,2017,Austria,Israel,Refugees (incl. refugee-like situations),11,AUT,ISR
4525,2017,Austria,Jordan,Refugees (incl. refugee-like situations),62,AUT,JOR
4526,2017,Austria,Kazakhstan,Refugees (incl. refugee-like situations),100,AUT,KAZ
4527,2017,Austria,Kenya,Refugees (incl. refugee-like situations),30,AUT,KEN
4528,2017,Austria,Kyrgyzstan,Refugees (incl. refugee-like situations),244,AUT,KGZ
4529,2017,Austria,Cambodia,Refugees (incl. refugee-like situations),0,AUT,KHM
4530,2017,Austria,Rep. of Korea,Refugees (incl. refugee-like situations),0,AUT,KOR
4531,2017,Austria,Kuwait,Refugees (incl. refugee-like situations),0,AUT,KWT
4532,2017,Austria,Lao People's Dem. Rep.,Refugees (incl. refugee-like situations),0,AUT,LAO
4533,2017,Austria,Lebanon,Refugees (incl. refugee-like situations),68,AUT,LBN
4534,2017,Austria,Liberia,Refugees (incl. refugee-like situations),18,AUT,LBR
4535,2017,Austria,Libya,Refugees (incl. refugee-like situations),80,AUT,LBY
4536,2017,Austria,Sri Lanka,Refugees (incl. refugee-like situations),67,AUT,LKA
4537,2017,Austria,Morocco,Refugees (incl. refugee-like situations),30,AUT,MAR
4538,2017,Austria,Rep. of Moldova,Refugees (incl. refugee-like situations),66,AUT,MDA
4539,2017,Austria,Madagascar,Refugees (incl. refugee-like situations),0,AUT,MDG
4540,2017,Austria,Mexico,Refugees (incl. refugee-like situations),0,AUT,MEX
4541,2017,Austria,The former Yugoslav Republic of Macedonia,Refugees (incl. refugee-like situations),75,AUT,MKD
4542,2017,Austria,Mali,Refugees (incl. refugee-like situations),11,AUT,MLI
4543,2017,Austria,Myanmar,Refugees (incl. refugee-like situations),36,AUT,MMR
4544,2017,Austria,Montenegro,Refugees (incl. refugee-like situations),12,AUT,MNE
4545,2017,Austria,Mongolia,Refugees (incl. refugee-like situations),177,AUT,MNG
4546,2017,Austria,Mauritania,Refugees (incl. refugee-like situations),0,AUT,MRT
4547,2017,Austria,Mauritius,Refugees (incl. refugee-like situations),0,AUT,MUS
4548,2017,Austria,Malawi,Refugees (incl. refugee-like situations),0,AUT,MWI
4549,2017,Austria,Niger,Refugees (incl. refugee-like situations),0,AUT,NER
4550,2017,Austria,Nigeria,Refugees (incl. refugee-like situations),407,AUT,NGA
4551,2017,Austria,Nicaragua,Refugees (incl. refugee-like situations),0,AUT,NIC
4552,2017,Austria,Nepal,Refugees (incl. refugee-like situations),39,AUT,NPL
4553,2017,Austria,Pakistan,Refugees (incl. refugee-like situations),270,AUT,PAK
4554,2017,Austria,Peru,Refugees (incl. refugee-like situations),0,AUT,PER
4555,2017,Austria,Philippines,Refugees (incl. refugee-like situations),10,AUT,PHL
4556,2017,Austria,Poland,Refugees (incl. refugee-like situations),0,AUT,POL
4557,2017,Austria,Portugal,Refugees (incl. refugee-like situations),0,AUT,PRT
4558,2017,Austria,Romania,Refugees (incl. refugee-like situations),9,AUT,ROU
4559,2017,Austria,Russian Federation,Refugees (incl. refugee-like situations),11301,AUT,RUS
4560,2017,Austria,Rwanda,Refugees (incl. refugee-like situations),19,AUT,RWA
4561,2017,Austria,Saudi Arabia,Refugees (incl. refugee-like situations),0,AUT,SAU
4562,2017,Austria,Sudan,Refugees (incl. refugee-like situations),298,AUT,SDN
4563,2017,Austria,Senegal,Refugees (incl. refugee-like situations),13,AUT,SEN
4564,2017,Austria,Sierra Leone,Refugees (incl. refugee-like situations),26,AUT,SLE
4565,2017,Austria,El Salvador,Refugees (incl. refugee-like situations),0,AUT,SLV
4566,2017,Austria,Somalia,Refugees (incl. refugee-like situations),5671,AUT,SOM
4567,2017,Austria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),1216,AUT,SRB
4568,2017,Austria,South Sudan,Refugees (incl. refugee-like situations),5,AUT,SSD
4569,2017,Austria,Slovakia,Refugees (incl. refugee-like situations),0,AUT,SVK
4570,2017,Austria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),43888,AUT,SYR
4571,2017,Austria,Chad,Refugees (incl. refugee-like situations),0,AUT,TCD
4572,2017,Austria,Togo,Refugees (incl. refugee-like situations),12,AUT,TGO
4573,2017,Austria,Thailand,Refugees (incl. refugee-like situations),0,AUT,THA
4574,2017,Austria,Tajikistan,Refugees (incl. refugee-like situations),166,AUT,TJK
4575,2017,Austria,Turkmenistan,Refugees (incl. refugee-like situations),7,AUT,TKM
4576,2017,Austria,Tunisia,Refugees (incl. refugee-like situations),7,AUT,TUN
4577,2017,Austria,Turkey,Refugees (incl. refugee-like situations),802,AUT,TUR
4578,2017,Austria,United Rep. of Tanzania,Refugees (incl. refugee-like situations),0,AUT,TZA
4579,2017,Austria,Uganda,Refugees (incl. refugee-like situations),23,AUT,UGA
4580,2017,Austria,Ukraine,Refugees (incl. refugee-like situations),292,AUT,UKR
4581,2017,Austria,United States of America,Refugees (incl. refugee-like situations),0,AUT,USA
4582,2017,Austria,Uzbekistan,Refugees (incl. refugee-like situations),113,AUT,UZB
4583,2017,Austria,Venezuela (Bolivarian Republic of),Refugees (incl. refugee-like situations),0,AUT,VEN
4584,2017,Austria,Viet Nam,Refugees (incl. refugee-like situations),17,AUT,VNM
4585,2017,Austria,Stateless,Refugees (incl. refugee-like situations),2326,AUT,SLS
4586,2017,Austria,Various/Unknown,Refugees (incl. refugee-like situations),3308,AUT,UNK
4587,2017,Austria,Yemen,Refugees (incl. refugee-like situations),163,AUT,YEM
4588,2017,Austria,South Africa,Refugees (incl. refugee-like situations),0,AUT,ZAF
4589,2017,Austria,Zambia,Refugees (incl. refugee-like situations),0,AUT,ZMB
4590,2017,Austria,Zimbabwe,Refugees (incl. refugee-like situations),22,AUT,ZWE
6643,2017,Belgium,Afghanistan,Refugees (incl. refugee-like situations),3201,BEL,AFG
6644,2017,Belgium,Angola,Refugees (incl. refugee-like situations),91,BEL,AGO
6645,2017,Belgium,Albania,Refugees (incl. refugee-like situations),534,BEL,ALB
6646,2017,Belgium,United Arab Emirates,Refugees (incl. refugee-like situations),0,BEL,ARE
6647,2017,Belgium,Armenia,Refugees (incl. refugee-like situations),127,BEL,ARM
6648,2017,Belgium,Azerbaijan,Refugees (incl. refugee-like situations),75,BEL,AZE
6649,2017,Belgium,Burundi,Refugees (incl. refugee-like situations),454,BEL,BDI
6650,2017,Belgium,Benin,Refugees (incl. refugee-like situations),30,BEL,BEN
